Entry ID,Accuracy
optics/2-68,0.0
optics/2-50,0.0
optics/1-41,1.0
optics/2-66,1.0
optics/2-61,1.0
optics/2-35,1.0
optics/1-12,0.0
optics/1-15,0.0
optics/2-32,0.0
optics/1-24,1.0
optics/2-67,0.0
optics/2-56,1.0
optics/2-69,1.0
optics/2-33,1.0
optics/1-14,0.0
optics/2-34,0.0
optics/1-1,1.0
optics/1-8,0.0
optics/1-9,0.0
optics/3-4,1.0
optics/3-3,1.0
optics/1-7,1.0
optics/3-21,1.0
optics/3-26,0.0
optics/3-19,1.0
optics/3-10,0.0
optics/3-17,1.0
optics/3-28,1.0
optics/3-16,1.0
optics/3-29,0.0
optics/3-11,0.0
optics/3-27,0.0
optics/3-18,0.0
optics/3-20,1.0
optics/1-31,0.0
optics/2-1,0.0
optics/2-16,0.0
optics/2-29,1.0
optics/2-11,0.0
optics/2-27,0.0
optics/1-38,1.0
optics/2-73,0.0
optics/2-45,1.0
optics/1-39,1.0
optics/2-26,0.0
optics/2-19,0.0
optics/1-37,0.0
optics/2-17,1.0
optics/2-88,1.0
optics/2-43,1.0
optics/2-86,1.0
optics/2-72,0.0
optics/2-31,1.0
optics/1-11,0.0
optics/1-18,1.0
optics/2-38,0.0
optics/2-53,1.0
optics/2-54,0.0
optics/2-62,0.0
optics/2-65,0.0
optics/2-39,0.0
optics/1-19,1.0
optics/1-26,0.0
optics/2-30,1.0
optics/2-64,1.0
optics/2-63,1.0
optics/2-55,1.0
optics/2-52,1.0
optics/3-8,0.0
optics/3-30,0.0
optics/3-7,1.0
optics/3-25,0.0
optics/3-22,1.0
optics/3-14,1.0
optics/3-13,0.0
optics/3-12,0.0
optics/3-15,1.0
optics/3-23,0.0
optics/3-24,0.0
optics/2-70,1.0
optics/2-41,1.0
optics/2-79,0.0
optics/1-35,1.0
optics/2-5,1.0
optics/2-15,0.0
optics/2-24,0.0
optics/2-78,1.0
optics/2-49,1.0
optics/2-76,1.0
optics/2-25,0.0
optics/2-3,1.0
optics/1-34,0.0
optics/2-13,0.0
