Entry ID,Accuracy
mechanics/1_9,1.0
mechanics/2_25,1.0
mechanics/3_3,0.0
mechanics/1_34,1.0
mechanics/1_33,1.0
mechanics/1_58,0.0
mechanics/1_67,1.0
mechanics/1_60,1.0
mechanics/1_69,0.0
mechanics/1_56,1.0
mechanics/2_49,1.0
mechanics/1_51,1.0
mechanics/2_15,1.0
mechanics/1_1,0.0
mechanics/1_32,0.0
mechanics/1_6,0.0
mechanics/3_2,0.0
mechanics/2_24,0.0
mechanics/3_5,1.0
mechanics/1_8,1.0
mechanics/2_48,0.0
mechanics/1_50,1.0
mechanics/1_68,0.0
mechanics/1_57,1.0
mechanics/1_61,1.0
mechanics/1_95,0.0
mechanics/1_59,0.0
mechanics/1_66,0.0
mechanics/3_12,1.0
mechanics/3_24,1.0
mechanics/3_48,0.0
mechanics/3_46,0.0
mechanics/3_41,1.0
mechanics/3_22,1.0
mechanics/3_25,0.0
mechanics/3_14,1.0
mechanics/3_40,0.0
mechanics/3_47,0.0
mechanics/3_49,1.0
mechanics/3_36,0.0
mechanics/3_31,0.0
mechanics/3_38,1.0
mechanics/3_39,0.0
mechanics/2_6,1.0
mechanics/2_8,1.0
mechanics/3_37,0.0
mechanics/1_44,1.0
mechanics/1_43,1.0
mechanics/1_88,1.0
mechanics/1_75,0.0
mechanics/1_81,1.0
mechanics/1_19,1.0
mechanics/1_28,1.0
mechanics/1_17,0.0
mechanics/2_37,1.0
mechanics/1_73,1.0
mechanics/1_80,1.0
mechanics/1_89,1.0
mechanics/1_45,1.0
mechanics/2_31,1.0
mechanics/2_38,1.0
mechanics/1_20,1.0
mechanics/1_18,1.0
mechanics/1_27,1.0
mechanics/1_64,1.0
mechanics/1_90,1.0
mechanics/1_99,1.0
mechanics/1_55,0.0
mechanics/2_26,1.0
mechanics/2_19,1.0
mechanics/3_7,1.0
mechanics/2_21,1.0
mechanics/2_17,1.0
mechanics/1_37,0.0
mechanics/3_9,1.0
mechanics/1_98,0.0
mechanics/1_53,1.0
mechanics/1_65,0.0
mechanics/1_62,1.0
mechanics/1_5,1.0
mechanics/2_11,1.0
mechanics/3_8,0.0
mechanics/2_16,1.0
mechanics/1_2,0.0
mechanics/3_6,1.0
mechanics/1_38,1.0
mechanics/3_1,0.0
mechanics/2_27,1.0
mechanics/2_18,1.0
mechanics/3_42,1.0
mechanics/3_45,0.0
mechanics/3_11,1.0
mechanics/3_16,0.0
mechanics/3_20,1.0
mechanics/3_27,1.0
mechanics/3_19,0.0
mechanics/3_28,0.0
mechanics/3_10,0.0
mechanics/3_32,0.0
mechanics/2_4,0.0
mechanics/2_5,1.0
mechanics/3_34,0.0
mechanics/3_33,1.0
mechanics/1_22,0.0
mechanics/1_25,1.0
mechanics/1_13,1.0
mechanics/1_14,0.0
mechanics/2_33,1.0
mechanics/1_85,1.0
mechanics/1_71,1.0
mechanics/1_76,1.0
mechanics/1_49,0.0
mechanics/1_12,0.0
mechanics/2_35,1.0
mechanics/1_24,0.0
mechanics/1_23,0.0
mechanics/2_50,1.0
mechanics/1_77,1.0
mechanics/1_100,0.0
mechanics/1_48,1.0
mechanics/1_70,0.0
mechanics/1_46,1.0
mechanics/1_79,0.0
Classical Mechanics/2-16,1.0
Classical Mechanics/2-11,0.0
Classical Mechanics/2-8,1.0
Classical Mechanics/2-21,1.0
Classical Mechanics/2-9,0.0
Classical Mechanics/2-12,1.0
Classical Mechanics/2-15,1.0
Classical Mechanics/2-14,0.0
Classical Mechanics/2-3,0.0
Classical Mechanics/2-13,1.0
