Entry ID,Accuracy_mech,Accuracy_orig,Accuracy_Diff
mechanics/2_11,0.0,1.0,1.0
mechanics/1_64,0.0,1.0,1.0
mechanics/3_40,0.0,1.0,1.0
mechanics/3_14,0.0,1.0,1.0
mechanics/1_82,0.0,1.0,1.0
mechanics/1_40,0.0,1.0,1.0
mechanics/1_10,0.0,1.0,1.0
mechanics/3_32,0.0,1.0,1.0
mechanics/1_8,0.0,1.0,1.0
mechanics/2_39,0.0,1.0,1.0
mechanics/2_15,0.0,1.0,1.0
Classical Mechanics/2-7,0.0,1.0,1.0
mechanics/2_47,0.0,1.0,1.0
mechanics/3_42,0.0,1.0,1.0
Classical Mechanics/2-10,0.0,1.0,1.0
mechanics/2_7,0.0,1.0,1.0
mechanics/2_49,0.0,0.8333333333333334,0.8333333333333334
mechanics/2_25,0.0,0.75,0.75
mechanics/2_16,0.0,0.6666666666666666,0.6666666666666666
Classical Mechanics/2-1,0.0,0.6666666666666666,0.6666666666666666
mechanics/1_31,0.0,0.6666666666666666,0.6666666666666666
mechanics/1_54,0.0,0.6666666666666666,0.6666666666666666
mechanics/1_67,0.0,0.6666666666666666,0.6666666666666666
mechanics/3_29,0.0,0.6666666666666666,0.6666666666666666
mechanics/1_41,0.0,0.6666666666666666,0.6666666666666666
mechanics/3_35,0.5,1.0,0.5
mechanics/3_21,0.0,0.5,0.5
mechanics/1_78,0.0,0.5,0.5
mechanics/1_97,0.5,1.0,0.5
Classical Mechanics/2-8,0.0,0.5,0.5
mechanics/2_34,0.0,0.5,0.5
mechanics/1_30,0.0,0.5,0.5
mechanics/3_6,0.0,0.5,0.5
mechanics/3_22,0.0,0.5,0.5
mechanics/1_88,0.0,0.5,0.5
mechanics/2_1,0.0,0.4,0.4
mechanics/3_9,0.6666666666666666,1.0,0.33333333333333337
mechanics/1_53,0.0,0.3333333333333333,0.3333333333333333
mechanics/3_33,0.0,0.3333333333333333,0.3333333333333333
mechanics/2_14,0.0,0.3333333333333333,0.3333333333333333
mechanics/1_56,0.3333333333333333,0.6666666666666666,0.3333333333333333
mechanics/2_33,0.0,0.3333333333333333,0.3333333333333333
mechanics/3_25,0.3333333333333333,0.0,-0.3333333333333333
mechanics/2_30,1.0,0.6666666666666666,-0.33333333333333337
mechanics/3_50,1.0,0.5,-0.5
mechanics/3_27,0.5,0.0,-0.5
mechanics/3_10,0.5,0.0,-0.5
mechanics/3_23,0.6,0.0,-0.6
mechanics/3_15,0.6666666666666666,0.0,-0.6666666666666666
mechanics/2_3,1.0,0.3333333333333333,-0.6666666666666667
mechanics/2_41,1.0,0.3333333333333333,-0.6666666666666667
mechanics/1_46,1.0,0.3333333333333333,-0.6666666666666667
Classical Mechanics/2-13,1.0,0.25,-0.75
mechanics/2_20,1.0,0.25,-0.75
mechanics/1_15,1.0,0.0,-1.0
mechanics/3_3,1.0,0.0,-1.0
mechanics/1_90,1.0,0.0,-1.0
mechanics/3_28,1.0,0.0,-1.0
mechanics/2_32,1.0,0.0,-1.0
mechanics/2_44,1.0,0.0,-1.0
mechanics/1_28,1.0,0.0,-1.0
mechanics/2_38,1.0,0.0,-1.0
mechanics/1_73,1.0,0.0,-1.0
mechanics/1_42,1.0,0.0,-1.0
mechanics/1_19,1.0,0.0,-1.0
