Entry ID,Accuracy
electro/3_4,1.0
electro/2_22,1.0
electro/2_13,0.75
electro/1_33,0.0
electro/2_14,0.5
electro/1_58,1.0
electro/1_67,1.0
electro/5_8,1.0
electro/1_60,1.0
electro/1_69,1.0
electro/5_1,1.0
electro/1_56,1.0
electro/2_15,1.0
electro/1_32,0
electro/1_35,0.5
electro/3_2,0.0
electro/2_24,1.0
electro/1_68,0.6666666666666666
electro/5_9,1.0
electro/1_61,1.0
electro/1_59,0.5555555555555556
electro/1_66,1.0
electro/3_25,1.0
electro/3_13,0.0
electro/4_2,1.0
electro/4_5,0
electro/2_9,0.5
electro/4_21,0.5
electro/4_19,1.0
electro/4_26,1.0
electro/4_10,0.6666666666666666
electro/4_28,0
electro/4_17,0.0
electro/4_4,0.75
electro/4_29,0.5
electro/2_1,0.75
electro/4_16,0
electro/4_11,0.0
electro/2_6,1.0
electro/4_18,0.0
electro/3_30,0.6666666666666666
electro/4_27,0.0
electro/2_8,0
electro/4_20,0
electro/1_44,1.0
electro/1_88,0
electro/1_75,0.0
electro/1_81,0.0
electro/1_86,0.5
electro/1_72,0.0
electro/5_29,0
electro/1_19,1.0
electro/5_16,0.25
electro/1_26,1.0
electro/1_21,1.0
electro/5_11,0
electro/1_28,0.5
electro/5_18,1.0
electro/1_17,0.5
electro/5_27,0.3333333333333333
electro/1_87,0
electro/1_80,0.75
electro/1_74,0.0
electro/1_42,1.0
electro/1_89,0
electro/1_45,0.0
electro/5_21,1.0
electro/5_19,0
electro/5_26,0.0
electro/1_16,1.0
electro/5_10,0.25
electro/1_18,0.0
electro/5_28,0
electro/1_27,1.0
electro/5_17,1.0
electro/1_63,1.0
electro/1_64,1.0
electro/1_90,1.0
electro/1_52,0.0
electro/5_5,0.0
electro/5_2,0.0
electro/2_21,0
electro/1_39,0.0
electro/1_30,1.0
electro/2_17,1.0
electro/2_28,0.0
electro/2_10,0.0
electro/1_37,1.0
electro/5_3,1.0
electro/1_53,0.6666666666666666
electro/5_4,1.0
electro/1_65,1.0
electro/1_62,0.0
electro/3_8,0.0
electro/2_16,0.0
electro/1_31,1.0
electro/2_29,0.14285714285714285
electro/2_20,0
electro/1_38,0.8
electro/3_29,1.0
electro/3_27,1.0
electro/4_30,0
electro/3_10,0.0
electro/4_25,1.0
electro/4_22,0.0
electro/2_3,1.0
electro/4_14,1.0
electro/4_13,0.0
electro/2_4,0.0
electro/4_6,1.0
electro/4_1,0.5
electro/4_8,1.0
electro/2_5,0.5
electro/2_2,1.0
electro/4_15,0
electro/4_23,1.0
electro/4_24,0.0
electro/4_9,0
electro/1_22,0.5
electro/5_12,0.16666666666666666
electro/5_15,1.0
electro/1_13,0.0
electro/1_14,1.0
electro/5_24,1.0
electro/1_40,0
electro/1_47,0.0
electro/1_78,0.0
electro/1_76,1.0
electro/1_82,0
electro/5_25,0.0
electro/1_15,1.0
electro/1_12,1.0
electro/5_22,0
electro/1_24,1.0
electro/5_14,0.0
electro/5_13,0.125
electro/1_23,0.5
electro/1_83,0.5
electro/1_77,0
electro/1_48,0.0
electro/1_70,1.0
electro/1_84,1.0
electro/1_46,0
electro/1_79,0.0
electro/1_41,0.3333333333333333
Electricity and Magenetism/12-3,0.0
Electricity and Magenetism/7-3,0.2
Electricity and Magenetism/9-2,1.0
Electricity and Magenetism/12-2,0
Electricity and Magenetism/10-6,0.4
Electricity and Magenetism/10-1,1.0
Electricity and Magenetism/9-3,0.0
Electricity and Magenetism/11-3,0
Electricity and Magenetism/4-4,0.0
Electricity and Magenetism/11-4,1.0
Electricity and Magenetism/11-2,0
Electricity and Magenetism/4-5,1.0
Electricity and Magenetism/13-1,0.5
Electricity and Magenetism/9-1,0
Electricity and Magenetism/3-1,0.25
Electricity and Magenetism/10-4,1.0
Electricity and Magenetism/12-1,0.0
Electricity and Magenetism/7-1,0.0
Electricity and Magenetism/10-5,0.5
Electricity and Magenetism/6-4,0.4
Electricity and Magenetism/4-7,1.0
Electricity and Magenetism/11-1,0.3333333333333333
Electricity and Magenetism/4-6,0
Electricity and Magenetism/6-2,1.0
Electricity and Magenetism/8-3,1.0
