Entry ID,Accuracy
optics/2-57,0.0
optics/2-68,0.0
optics/2-50,0.0
optics/1-41,0.0
optics/2-66,0.0
optics/2-59,1.0
optics/2-61,1.0
optics/2-35,0.0
optics/1-12,0.0
optics/1-15,1.0
optics/2-32,0.0
optics/1-23,0.0
optics/1-24,0.0
optics/2-60,0.0
optics/2-67,0.0
optics/1-40,0.0
optics/2-58,0.0
optics/2-51,0.0
optics/2-56,1.0
optics/2-69,0.5
optics/1-25,1.0
optics/1-22,0.0
optics/2-33,0.0
optics/1-14,0.3333333333333333
optics/1-13,1.0
optics/2-34,0.6666666666666666
optics/1-1,1.0
optics/1-6,0.0
optics/3-2,0.0
optics/1-8,0.0
optics/3-5,1.0
optics/1-9,0.0
optics/3-4,1.0
optics/3-3,1.0
optics/1-7,1.0
optics/3-21,0.0
optics/3-26,0.0
optics/3-19,1.0
optics/3-10,0.0
optics/3-17,0.0
optics/3-28,1.0
optics/3-16,1.0
optics/3-29,0.0
optics/3-11,0.0
optics/3-27,0.0
optics/3-18,0.0
optics/3-20,0.0
optics/1-31,0.0
optics/2-1,0.0
optics/2-16,1.0
optics/2-29,1.0
optics/2-11,0.0
optics/2-6,0.5
optics/1-36,0.0
optics/2-27,0.0
optics/2-18,0.0
optics/2-20,0.0
optics/2-8,0.0
optics/1-38,0.0
optics/2-80,0.0
optics/2-74,0.0
optics/2-73,0.0
optics/2-87,0.0
optics/2-45,0.0
optics/2-42,1.0
optics/2-21,1.0
optics/1-39,0.0
optics/2-9,1.0
optics/2-26,0.0
optics/2-19,0.0
optics/1-37,0.0
optics/2-7,1.0
optics/2-17,1.0
optics/1-30,0.0
optics/2-28,1.0
optics/2-88,0.0
optics/2-43,0.0
optics/2-44,0.0
optics/2-86,1.0
optics/2-72,0.0
optics/2-75,0.0
optics/2-81,0.5
optics/1-29,0.0
optics/1-16,1.0
optics/2-31,0.0
optics/2-36,1.0
optics/1-11,0.0
optics/1-18,0.0
optics/1-27,1.0
optics/2-38,0.0
optics/1-20,0.0
optics/2-53,1.0
optics/2-54,1.0
optics/2-62,0.0
optics/2-65,0.0
optics/2-39,0.0
optics/1-21,0.0
optics/1-19,1.0
optics/1-26,0.0
optics/1-10,0.0
optics/2-37,0.0
optics/1-28,0.0
optics/2-30,0.0
optics/1-17,1.0
optics/2-64,0.0
optics/2-63,1.0
optics/2-55,1.0
optics/2-52,1.0
optics/3-8,0.5
optics/1-5,0.0
optics/1-2,0.0
optics/3-6,1.0
optics/3-1,1.0
optics/3-30,0.0
optics/3-7,0.0
optics/1-3,0.0
optics/3-9,0.0
optics/1-4,1.0
optics/3-25,0.0
optics/3-22,1.0
optics/3-14,0.0
optics/3-13,0.0
optics/3-12,0.0
optics/3-15,1.0
optics/3-23,0.0
optics/3-24,1.0
optics/2-70,0.0
optics/2-84,1.0
optics/2-48,0.0
optics/2-83,0.3333333333333333
optics/2-77,0.0
optics/2-41,1.0
optics/2-79,0.0
optics/2-46,0.0
optics/2-12,0.0
optics/1-35,0.0
optics/2-5,1.0
optics/2-2,1.0
optics/1-32,0.0
optics/2-15,0.0
optics/2-23,1.0
optics/2-24,0.0
optics/2-78,0.0
optics/2-47,0.0
optics/2-40,0.0
optics/2-49,0.6666666666666666
optics/2-76,1.0
optics/2-82,1.0
optics/2-85,1.0
optics/2-71,0.0
optics/2-25,0.0
optics/2-22,0.3333333333333333
optics/2-14,0.0
optics/1-33,0.0
optics/2-3,1.0
optics/2-4,1.0
optics/1-34,1.0
optics/2-13,0.0
