Entry ID,Accuracy
atomic/1-48,0.0
atomic/1-41,1.0
atomic/1-46,0.75
atomic/2-35,0.0
atomic/1-12,0.0
atomic/1-15,1.0
atomic/2-32,0.0
atomic/1-23,1.0
atomic/1-24,0.0
atomic/1-47,0.3333333333333333
atomic/1-40,0.0
atomic/2-51,0.5
atomic/1-49,1.0
atomic/1-25,1.0
atomic/1-22,0.0
atomic/2-33,0.0
atomic/1-14,0.0
atomic/1-13,0.0
atomic/2-34,0.0
atomic/4-48,0.5
atomic/3-51,0.0
atomic/4-46,0.5
atomic/4-41,0.0
atomic/1-1,1.0
atomic/4-15,0.0
atomic/4-12,0.0
atomic/1-6,0.0
atomic/3-2,1.0
atomic/4-24,0.75
atomic/1-8,1.0
atomic/3-34,0.2857142857142857
atomic/4-23,0.0
atomic/3-5,1.0
atomic/4-40,0.0
atomic/4-47,0.5
atomic/3-50,0.6
atomic/4-49,0.0
atomic/1-9,0.6666666666666666
atomic/4-22,1.0
atomic/3-35,0.6666666666666666
atomic/3-4,1.0
atomic/3-3,1.0
atomic/3-32,0.0
atomic/4-25,1.0
atomic/4-13,0.0
atomic/1-7,1.0
atomic/4-14,0.0
atomic/3-21,0.2
atomic/4-36,1.0
atomic/4-31,0.0
atomic/3-26,1.0
atomic/3-19,0.6666666666666666
atomic/3-10,0.0
atomic/4-38,0.5
atomic/3-17,0.0
atomic/3-28,0.6666666666666666
atomic/3-43,0.0
atomic/3-44,1.0
atomic/3-16,1.0
atomic/3-29,0.3333333333333333
atomic/3-11,0.0
atomic/4-39,0.0
atomic/3-27,0.3
atomic/4-30,0.0
atomic/3-18,0.0
atomic/4-37,0.0
atomic/3-20,0.0
atomic/3-45,0.0
atomic/3-42,0.0
atomic/1-31,0.0
atomic/2-1,1.0
atomic/2-16,0.0
atomic/2-29,0.0
atomic/2-11,0
atomic/2-6,0.0
atomic/1-36,0.0
atomic/2-27,0.0
atomic/2-18,0.0
atomic/2-20,0.0
atomic/2-8,0.0
atomic/1-38,0.0
atomic/2-45,0.0
atomic/4-4,0.0
atomic/4-3,0.0
atomic/2-42,1.0
atomic/2-21,0.0
atomic/1-39,0.3333333333333333
atomic/2-9,0.0
atomic/2-26,0.0
atomic/2-19,0.0
atomic/1-37,0.0
atomic/2-7,1.0
atomic/2-10,0.0
atomic/2-17,1.0
atomic/1-30,0.0
atomic/2-28,0.0
atomic/2-43,0.0
atomic/4-2,0.0
atomic/4-5,0.5
atomic/2-44,1.0
atomic/1-29,1.0
atomic/1-16,0.0
atomic/2-31,1.0
atomic/2-36,0.0
atomic/1-11,0.0
atomic/1-18,1.0
atomic/1-27,0.0
atomic/2-38,0.0
atomic/1-20,0.0
atomic/1-45,0.6666666666666666
atomic/1-42,1.0
atomic/2-39,1.0
atomic/1-21,1.0
atomic/1-19,0.0
atomic/1-26,0.0
atomic/1-10,0.0
atomic/2-37,0.0
atomic/1-28,1.0
atomic/2-30,0.0
atomic/1-17,0.0
atomic/1-43,0.3333333333333333
atomic/1-44,0.0
atomic/3-8,0.0
atomic/3-39,1.0
atomic/4-11,1.0
atomic/1-5,1.0
atomic/4-29,0.0
atomic/1-2,0.0
atomic/4-16,0.0
atomic/4-20,1.0
atomic/3-6,0.75
atomic/4-18,0.0
atomic/3-1,1.0
atomic/3-30,1.0
atomic/4-27,0.5
atomic/4-42,0
atomic/4-45,1.0
atomic/3-52,0.0
atomic/4-19,1.0
atomic/4-26,1.0
atomic/3-31,0.75
atomic/3-36,0.3333333333333333
atomic/4-21,0.0
atomic/3-7,0.0
atomic/4-28,0.0
atomic/1-3,0.0
atomic/4-17,1.0
atomic/3-9,0.0
atomic/3-38,0.0
atomic/4-10,1.0
atomic/1-4,0.0
atomic/3-53,0.0
atomic/4-44,0.0
atomic/4-43,0.0
atomic/4-50,0.6666666666666666
atomic/3-47,0.0
atomic/3-49,0.0
atomic/3-25,0.0
atomic/4-32,0.0
atomic/4-35,0.5
atomic/3-22,0.0
atomic/3-14,0.25
atomic/3-13,0.42857142857142855
atomic/3-48,0.6666666666666666
atomic/3-41,0.0
atomic/3-46,0.0
atomic/3-12,0.8
atomic/3-15,0.6
atomic/3-23,1.0
atomic/4-34,0.625
atomic/4-33,0.0
atomic/3-24,1.0
atomic/4-9,1.0
atomic/2-48,0.0
atomic/1-50,0.0
atomic/2-41,1.0
atomic/2-46,0.0
atomic/4-7,0.0
atomic/2-12,1.0
atomic/1-35,1.0
atomic/2-5,1.0
atomic/2-2,0.0
atomic/1-32,1.0
atomic/2-15,1.0
atomic/2-23,0.0
atomic/2-24,0.0
atomic/4-6,0.0
atomic/2-47,0.0
atomic/2-40,0.0
atomic/4-1,0.0
atomic/2-49,1.0
atomic/4-8,1.0
atomic/2-25,0.0
atomic/2-22,0.0
atomic/2-14,0.0
atomic/1-33,0.0
atomic/2-3,0.0
atomic/2-4,0.0
atomic/1-34,0.0
atomic/2-13,0.0
