Entry ID,Accuracy
quantum/3-3013,0.0
quantum/5068,0.0
quantum/1-1041,1.0
quantum/3-3025,0.0
quantum/5003,0.0
quantum/5035,0.0
quantum/6012,1.0
quantum/2-2014,1.0
quantum/1-1024,1.0
quantum/6015,1.0
quantum/5032,1.0
quantum/2-2013,1.0
quantum/3-3047,0.0
quantum/3-3024,1.0
quantum/5051,1.0
quantum/5069,0.0
quantum/3-3023,1.0
quantum/5060,0.0
quantum/5067,0.0
quantum/6040,1.0
quantum/6014,1.0
quantum/1-1025,1.0
quantum/1-1022,1.0
quantum/6013,0.0
quantum/2-2015,0.0
quantum/3-3048,1.0
quantum/8001,1.0
quantum/8006,1.0
quantum/8008,1.0
quantum/7014,1.0
quantum/7013,1.0
quantum/7025,0.0
quantum/4002,1.0
quantum/7022,1.0
quantum/8009,1.0
quantum/8007,1.0
quantum/7023,0.0
quantum/4004,1.0
quantum/7024,1.0
quantum/7012,1.0
quantum/7015,1.0
quantum/7008,1.0
quantum/4010,1.0
quantum/7006,1.0
quantum/8025,1.0
quantum/8013,1.0
quantum/7007,0.0
quantum/7009,1.0
quantum/8015,0.0
quantum/8024,1.0
quantum/2-2006,1.0
quantum/5027,0.0
quantum/1-1009,1.0
quantum/2-2001,1.0
quantum/5016,1.0
quantum/6009,0.0
quantum/5011,0.0
quantum/1-1007,1.0
quantum/3-3030,1.0
quantum/3-3008,0.0
quantum/1-1062,1.0
quantum/6053,1.0
quantum/5080,1.0
quantum/5074,1.0
quantum/3-3001,0.0
quantum/5073,1.0
quantum/3-3006,1.0
quantum/1-1006,0.0
quantum/5010,1.0
quantum/1-1001,1.0
quantum/6039,0.0
quantum/1-1008,1.0
quantum/5021,1.0
quantum/5019,1.0
quantum/6001,1.0
quantum/1-1030,1.0
quantum/5026,1.0
quantum/1-1064,1.0
quantum/5072,0.0
quantum/3-3007,0.0
quantum/5075,1.0
quantum/6052,1.0
quantum/1-1063,0.0
quantum/3-3009,1.0
quantum/3-3031,1.0
quantum/6018,1.0
quantum/1-1029,1.0
quantum/6020,0.0
quantum/6016,1.0
quantum/1-1027,1.0
quantum/5031,0.0
quantum/6011,1.0
quantum/3-3043,1.0
quantum/2-2017,1.0
quantum/3-3028,0.0
quantum/6042,1.0
quantum/5053,0.0
quantum/3-3021,0.0
quantum/5054,0.0
quantum/1-1042,0.0
quantum/6010,0.0
quantum/1-1021,0.0
quantum/5037,0.0
quantum/3-3042,0.0
quantum/5008,0.0
quantum/1-1026,1.0
quantum/6017,1.0
quantum/2-2018,1.0
quantum/1-1010,1.0
quantum/6021,0.0
quantum/1-1028,0.0
quantum/6019,1.0
quantum/1-1043,1.0
quantum/5052,1.0
quantum/6043,1.0
quantum/6044,1.0
quantum/3-3029,1.0
quantum/7010,1.0
quantum/7021,1.0
quantum/7026,1.0
quantum/4001,1.0
quantum/7019,1.0
quantum/8005,1.0
quantum/8002,1.0
quantum/7018,0.0
quantum/4007,0.0
quantum/7011,1.0
quantum/4009,0.0
quantum/8003,1.0
quantum/8004,0.0
quantum/8019,1.0
quantum/8021,1.0
quantum/8028,1.0
quantum/8017,0.0
quantum/7002,0.0
quantum/6059,0.0
quantum/3-3034,1.0
quantum/3-3033,0.0
quantum/5079,0.0
quantum/5070,0.0
quantum/1-1066,1.0
quantum/3-3005,0.0
quantum/5077,1.0
quantum/3-3002,1.0
quantum/5048,0.0
quantum/2-2002,0.0
quantum/5023,0.0
quantum/2-2005,1.0
quantum/6003,0.0
quantum/5012,1.0
quantum/1-1004,0.0
quantum/1-1003,1.0
quantum/5015,1.0
quantum/5076,1.0
quantum/1-1060,1.0
quantum/6051,1.0
quantum/3-3003,1.0
quantum/1-1067,1.0
quantum/5071,1.0
quantum/3-3004,1.0
quantum/3-3032,0.0
quantum/6058,0.0
quantum/1-1002,1.0
quantum/1-1005,1.0
quantum/6034,0.0
quantum/2-2004,0.0
quantum/2-2003,0.0
quantum/6005,1.0
Quantum Mechanics/23-3,1.0
Quantum Mechanics/29-4,1.0
Quantum Mechanics/29-3,1.0
Quantum Mechanics/27-2,0.0
Quantum Mechanics/27-5,1.0
Quantum Mechanics/25-1,1.0
Quantum Mechanics/25-6,0.0
Quantum Mechanics/29-2,1.0
Quantum Mechanics/29-5,1.0
Quantum Mechanics/23-2,0.0
Quantum Mechanics/27-4,1.0
Quantum Mechanics/27-3,1.0
Quantum Mechanics/24-2,1.0
Quantum Mechanics/26-1,1.0
Quantum Mechanics/24-3,1.0
Quantum Mechanics/28-1,1.0
Quantum Mechanics/30-2,1.0
Quantum Mechanics/30-3,1.0
Quantum Mechanics/27-1,0.0
Quantum Mechanics/25-5,1.0
Quantum Mechanics/25-2,1.0
Quantum Mechanics/29-7,0.0
Quantum Mechanics/25-3,1.0
Quantum Mechanics/25-4,1.0
Quantum Mechanics/29-6,1.0
Quantum Mechanics/29-1,1.0
Quantum Mechanics/23-1,1.0
Quantum Mechanics/28-3,0.0
Quantum Mechanics/28-4,1.0
Quantum Mechanics/24-1,1.0
Quantum Mechanics/26-2,1.0
Quantum Mechanics/28-5,0.0
Quantum Mechanics/28-2,0.0
Quantum Mechanics/26-3,1.0
Quantum Mechanics/26-4,0.0
Quantum Mechanics/30-1,0.0
