Entry ID,Accuracy
mechanics/1_9,1.0
mechanics/2_25,0.6666666666666666
mechanics/3_3,0.4
mechanics/1_34,1.0
mechanics/1_33,0
mechanics/1_58,0.0
mechanics/1_67,0.75
mechanics/1_60,0.0
mechanics/1_69,0.0
mechanics/1_56,0.0
mechanics/2_49,1.0
mechanics/1_51,1.0
mechanics/2_15,1.0
mechanics/1_1,0.5
mechanics/1_32,0.0
mechanics/1_6,0.0
mechanics/3_2,0.5
mechanics/2_24,0
mechanics/3_5,1.0
mechanics/1_8,1.0
mechanics/2_48,0
mechanics/1_50,0
mechanics/1_68,0.0
mechanics/1_57,1.0
mechanics/1_61,1.0
mechanics/1_95,0.0
mechanics/1_59,0.5
mechanics/1_66,0
mechanics/3_12,0.0
mechanics/3_24,0.3333333333333333
mechanics/3_48,0.0
mechanics/3_46,0
mechanics/3_41,0.6666666666666666
mechanics/3_22,0
mechanics/3_25,0.0
mechanics/3_14,0.0
mechanics/3_40,1.0
mechanics/3_47,0
mechanics/3_49,1.0
mechanics/3_36,0.0
mechanics/3_31,0.3
mechanics/3_38,1.0
mechanics/3_39,0.25
mechanics/2_6,0.6666666666666666
mechanics/2_8,1.0
mechanics/3_37,0.0
mechanics/1_44,1.0
mechanics/1_43,0.5
mechanics/1_88,0
mechanics/1_75,0.5
mechanics/1_81,1.0
mechanics/1_19,1.0
mechanics/1_28,1.0
mechanics/1_17,0.0
mechanics/2_37,1.0
mechanics/1_73,0
mechanics/1_80,1.0
mechanics/1_89,1.0
mechanics/1_45,1.0
mechanics/2_31,0.6666666666666666
mechanics/2_38,0.3333333333333333
mechanics/1_20,0.3333333333333333
mechanics/1_18,1.0
mechanics/1_27,0
mechanics/1_64,0
mechanics/1_90,0.2
mechanics/1_99,1.0
mechanics/1_55,0.0
mechanics/2_26,0
mechanics/2_19,1.0
mechanics/3_7,0.0
mechanics/2_21,0
mechanics/2_17,1.0
mechanics/1_37,0.0
mechanics/3_9,1.0
mechanics/1_98,1.0
mechanics/1_53,0.3333333333333333
mechanics/1_65,1.0
mechanics/1_62,1.0
mechanics/1_5,1.0
mechanics/2_11,1.0
mechanics/3_8,0.0
mechanics/2_16,0.75
mechanics/1_2,0.0
mechanics/3_6,0
mechanics/1_38,1.0
mechanics/3_1,0.0
mechanics/2_27,0
mechanics/2_18,0.0
mechanics/3_42,1.0
mechanics/3_45,0.0
mechanics/3_11,1.0
mechanics/3_16,0
mechanics/3_20,0.5
mechanics/3_27,0.0
mechanics/3_19,0.7142857142857143
mechanics/3_28,0.0
mechanics/3_10,0.0
mechanics/3_32,0.3333333333333333
mechanics/2_4,0.0
mechanics/2_5,0.0
mechanics/3_34,1.0
mechanics/3_33,0.0
mechanics/1_22,0.0
mechanics/1_25,0.5
mechanics/1_13,0.6
mechanics/1_14,0.0
mechanics/2_33,0.75
mechanics/1_85,0.25
mechanics/1_71,0
mechanics/1_76,0.6666666666666666
mechanics/1_49,1.0
mechanics/1_12,0.0
mechanics/2_35,1.0
mechanics/1_24,0.0
mechanics/1_23,0.0
mechanics/2_50,0
mechanics/1_77,0.5
mechanics/1_100,0.0
mechanics/1_48,1.0
mechanics/1_70,0
mechanics/1_46,0.3333333333333333
mechanics/1_79,0.0
Classical Mechanics/2-16,1.0
Classical Mechanics/2-11,0.0
Classical Mechanics/2-8,0.3333333333333333
Classical Mechanics/2-21,0.3333333333333333
Classical Mechanics/2-9,0.0
Classical Mechanics/2-12,0.0
Classical Mechanics/2-15,1.0
Classical Mechanics/2-14,0.0
Classical Mechanics/2-3,0.0
Classical Mechanics/2-13,0
