Entry ID,Accuracy,Prompt Tokens,Completion Tokens,Total Tokens
mechanics/1_9,1.0,0,0,526
mechanics/2_25,1.0,0,0,1758
mechanics/3_3,0.0,0,0,1973
mechanics/1_34,0.0,0,0,1418
mechanics/1_33,0.0,0,0,974
mechanics/1_58,0.0,0,0,644
mechanics/1_67,1.0,0,0,921
mechanics/1_60,0.0,0,0,581
mechanics/1_69,0.0,0,0,1397
mechanics/1_56,0.0,0,0,1177
mechanics/2_49,1.0,0,0,1322
mechanics/1_51,0.0,0,0,1817
mechanics/2_15,0.0,0,0,1792
mechanics/1_1,0.0,0,0,679
mechanics/1_32,0.0,0,0,2094
mechanics/1_6,0.0,0,0,440
mechanics/3_2,0.0,0,0,609
mechanics/2_24,0.0,0,0,1843
mechanics/3_5,0.0,0,0,1144
mechanics/1_8,0.0,0,0,501
mechanics/2_48,0.0,0,0,2671
mechanics/1_50,1.0,0,0,1414
mechanics/1_68,0.0,0,0,950
mechanics/1_57,0.0,0,0,929
mechanics/1_61,0.0,0,0,866
mechanics/1_95,0.0,0,0,1604
mechanics/1_59,0.0,0,0,1187
mechanics/1_66,0,,,
mechanics/3_12,0,,,
mechanics/3_24,0,,,
mechanics/3_48,0,,,
mechanics/3_46,0,,,
mechanics/3_41,0.0,0,0,1687
mechanics/3_22,1.0,0,0,1786
mechanics/3_25,0,,,
mechanics/3_14,0.0,0,0,899
mechanics/3_40,0,,,
mechanics/3_47,0.0,0,0,2243
mechanics/3_49,0.0,0,0,375
mechanics/3_36,0,,,
mechanics/3_31,0.0,0,0,1995
mechanics/3_38,0,,,
mechanics/3_39,0,,,
mechanics/2_6,0,,,
mechanics/2_8,0,,,
mechanics/3_37,0.0,0,0,636
mechanics/1_44,0.0,0,0,658
mechanics/1_43,0.0,0,0,1012
mechanics/1_88,0.0,0,0,2760
mechanics/1_75,0,,,
mechanics/1_81,0.0,0,0,1109
mechanics/1_19,0.0,0,0,724
mechanics/1_28,0,,,
mechanics/1_17,0,,,
mechanics/2_37,0,,,
mechanics/1_73,0,,,
mechanics/1_80,0.0,0,0,768
mechanics/1_89,0,,,
mechanics/1_45,0.0,0,0,787
mechanics/2_31,0.0,0,0,1699
mechanics/2_38,1.0,0,0,1090
mechanics/1_20,0.0,0,0,1132
mechanics/1_18,0.0,0,0,638
mechanics/1_27,0.0,0,0,1651
mechanics/1_64,0.0,0,0,3892
mechanics/1_90,1.0,0,0,1715
mechanics/1_99,0.0,0,0,883
mechanics/1_55,0.0,0,0,508
mechanics/2_26,0,,,
mechanics/2_19,1.0,0,0,2082
mechanics/3_7,0,,,
mechanics/2_21,1.0,0,0,1389
mechanics/2_17,0,,,
mechanics/1_37,0.0,0,0,1021
mechanics/3_9,0,,,
mechanics/1_98,1.0,0,0,893
mechanics/1_53,0.0,0,0,1397
mechanics/1_65,0,,,
mechanics/1_62,0.0,0,0,850
mechanics/1_5,0.0,0,0,571
mechanics/2_11,0,,,
mechanics/3_8,0,,,
mechanics/2_16,0,,,
mechanics/1_2,0.0,0,0,691
mechanics/3_6,0,,,
mechanics/1_38,1.0,0,0,1286
mechanics/3_1,0,,,
mechanics/2_27,0.0,0,0,3346
mechanics/2_18,0,,,
mechanics/3_42,0.0,0,0,1097
mechanics/3_45,1.0,0,0,1765
mechanics/3_11,0,,,
mechanics/3_16,0,,,
mechanics/3_20,0.0,0,0,1547
mechanics/3_27,0.0,0,0,1523
mechanics/3_19,1.0,0,0,933
mechanics/3_28,0.0,0,0,1024
mechanics/3_10,0.0,0,0,966
mechanics/3_32,0.0,0,0,1225
mechanics/2_4,0.0,0,0,2417
mechanics/2_5,0,,,
mechanics/3_34,0,,,
mechanics/3_33,0,,,
mechanics/1_22,0.0,0,0,1467
mechanics/1_25,0,,,
mechanics/1_13,1.0,0,0,1417
mechanics/1_14,0,,,
mechanics/2_33,0,,,
mechanics/1_85,0,,,
mechanics/1_71,0.0,0,0,1127
mechanics/1_76,0,,,
mechanics/1_49,0,,,
mechanics/1_12,0.0,0,0,921
mechanics/2_35,0.0,0,0,1280
mechanics/1_24,1.0,0,0,895
mechanics/1_23,0,,,
mechanics/2_50,0.0,0,0,1698
mechanics/1_77,0.0,0,0,1461
mechanics/1_100,0.0,0,0,1848
mechanics/1_48,0.0,0,0,1134
mechanics/1_70,0.0,0,0,1224
mechanics/1_46,1.0,0,0,1312
mechanics/1_79,0.0,0,0,1257
Classical Mechanics/2-16,0.0,0,0,2071
Classical Mechanics/2-11,0,,,
Classical Mechanics/2-8,1.0,0,0,1505
Classical Mechanics/2-21,0,,,
Classical Mechanics/2-9,0,,,
Classical Mechanics/2-12,0.0,0,0,745
Classical Mechanics/2-15,0.0,0,0,1438
Classical Mechanics/2-14,0.0,0,0,1064
Classical Mechanics/2-3,0,,,
Classical Mechanics/2-13,0.0,0,0,2019
