id,original_final_answers_count,final_boxed_only_count,original_accuracy,recalculated_accuracy,accuracy_diff
mechanics/3_4,0,0,0.0,0.0,0.0
mechanics/2_22,1,1,0.0,0.0,0.0
mechanics/1_9,1,1,1.0,1.0,0.0
mechanics/2_25,1,1,0.0,0.0,0.0
mechanics/3_3,1,1,1.0,1.0,0.0
mechanics/2_13,1,1,0.0,0.0,0.0
mechanics/1_7,1,1,1.0,1.0,0.0
mechanics/1_34,1,1,0.0,0.0,0.0
mechanics/1_33,1,1,0.0,0.0,0.0
mechanics/2_14,0,0,0.0,0.0,0.0
mechanics/1_58,1,1,0.0,0.0,0.0
mechanics/1_67,1,1,1.0,1.0,0.0
mechanics/1_93,1,1,0.0,0.0,0.0
mechanics/2_40,1,1,1.0,1.0,0.0
mechanics/2_47,1,1,1.0,1.0,0.0
mechanics/1_94,1,1,0.0,0.0,0.0
mechanics/1_60,1,1,0.0,0.0,0.0
mechanics/1_69,1,1,1.0,1.0,0.0
mechanics/1_56,1,1,0.0,0.0,0.0
mechanics/2_49,1,1,1.0,1.0,0.0
mechanics/1_51,1,1,1.0,1.0,0.0
mechanics/2_15,1,1,1.0,1.0,0.0
mechanics/1_1,1,1,0.0,0.0,0.0
mechanics/1_32,1,1,1.0,1.0,0.0
mechanics/1_6,1,1,0.0,0.0,0.0
mechanics/1_35,1,1,1.0,1.0,0.0
mechanics/2_12,1,1,1.0,1.0,0.0
mechanics/3_2,1,1,0.0,0.0,0.0
mechanics/2_24,1,1,1.0,1.0,0.0
mechanics/2_23,2,1,1.0,1.0,0.0
mechanics/3_5,1,1,1.0,1.0,0.0
mechanics/1_8,1,1,1.0,1.0,0.0
mechanics/2_48,5,1,0.8,1.0,0.19999999999999996
mechanics/1_50,1,1,1.0,1.0,0.0
mechanics/1_68,1,1,0.0,0.0,0.0
mechanics/1_57,2,1,1.0,1.0,0.0
mechanics/1_61,1,1,1.0,1.0,0.0
mechanics/2_46,1,1,0.0,0.0,0.0
mechanics/1_95,1,1,0.0,0.0,0.0
mechanics/1_59,1,1,0.0,0.0,0.0
mechanics/1_92,1,1,1.0,1.0,0.0
mechanics/2_41,1,1,1.0,1.0,0.0
mechanics/1_66,1,1,0.0,0.0,0.0
mechanics/3_15,3,1,0.6666666666666666,0.0,-0.6666666666666666
mechanics/3_12,1,1,0.0,0.0,0.0
mechanics/3_24,1,1,0.0,0.0,0.0
mechanics/3_23,5,1,0.8,1.0,0.19999999999999996
mechanics/3_48,1,1,0.0,0.0,0.0
mechanics/3_46,1,1,1.0,1.0,0.0
mechanics/3_41,1,1,1.0,1.0,0.0
mechanics/3_22,1,1,0.0,0.0,0.0
mechanics/3_25,1,1,0.0,0.0,0.0
mechanics/3_13,1,1,0.0,0.0,0.0
mechanics/3_14,1,1,1.0,1.0,0.0
mechanics/3_40,1,1,1.0,1.0,0.0
mechanics/3_47,1,1,0.0,0.0,0.0
